timestamp,open,high,low,close,volume
2026-08-11,58.6740,58.9900,58.1550,58.5500,13408867
2026-08-10,57.8000,59.7200,57.5200,59.4100,21772575
2026-08-07,57.9990,58.1800,56.9900,57.5000,20302140
2026-08-06,55.4600,55.8800,55.0000,55.8500,13389022
2026-08-05,56.1000,56.7450,55.8000,56.0700,21619175
2026-08-04,53.9700,54.2750,53.5800,53.8400,14035782
2026-08-03,51.2500,52.6200,51.1200,52.4600,11966291
2026-07-31,51.9500,52.4150,51.5400,52.3600,11609650
2026-07-30,52.3500,53.5500,52.2050,53.5000,16206558
2026-07-29,51.7200,53.5550,51.2700,51.7700,20374085
2026-07-28,51.6100,52.0100,51.1850,51.7000,10764255
2026-07-27,53.0400,53.3250,52.5699,52.9300,13115190
2026-07-24,52.3400,53.3250,52.3000,52.5900,11134383
2026-07-23,52.0900,52.4600,51.7700,52.0600,13724967
2026-07-22,53.7800,55.0800,53.7800,53.9200,13925340
2026-07-21,52.8600,53.5200,52.6600,53.0800,12776301
2026-07-20,51.2000,51.7000,50.9500,50.9800,12897577
2026-07-17,49.7000,50.8200,49.6100,50.7800,15482026
2026-07-16,50.9100,51.0800,50.0200,50.3900,19377912
2026-07-15,52.7100,52.9000,51.1906,52.2100,16315322
2026-07-14,53.5300,53.9350,52.8550,53.1700,13208724
2026-07-13,52.9500,53.0000,51.7800,52.1600,17653074
2026-07-10,53.6900,54.2900,53.2300,53.9500,11734302
2026-07-09,54.1100,54.7750,53.9900,54.1400,11832998
2026-07-08,52.7600,53.0900,51.7200,52.8300,20091227
2026-07-07,55.3900,55.9350,53.7450,54.4600,14497809
2026-07-06,55.7420,56.3700,55.6100,56.1100,13649049
2026-07-02,55.1100,56.1300,54.5700,55.0200,16965293
2026-07-01,53.3300,55.1600,53.2250,53.5800,16209125
2026-06-30,53.3300,54.6450,53.1850,53.4700,15720009
2026-06-29,52.7750,52.9300,51.9300,52.6800,14264347
2026-06-26,52.8700,53.8700,52.4593,53.2800,15469232
2026-06-25,52.7100,53.2000,51.5000,52.3600,24748961
2026-06-24,52.9400,53.8950,50.3100,51.7800,51913722
2026-06-23,56.1600,56.5100,55.4650,55.7300,20777788
2026-06-22,60.0900,60.3300,58.7500,58.9100,16469779
