timestamp,open,high,low,close,volume
2026-08-11,774.5300,774.6100,769.2000,770.5600,36740555
2026-08-10,772.6000,775.0500,771.6200,773.0300,39249478
2026-08-07,771.0200,773.9150,769.6100,773.2600,43586333
2026-08-06,770.2100,771.8200,767.4600,768.5600,38416896
2026-08-05,775.8500,776.8500,769.5100,769.7900,44689081
2026-08-04,760.6300,773.4100,760.5200,771.3300,69154788
2026-08-03,749.4400,758.5800,748.8000,757.6700,59927538
2026-07-31,744.6800,748.8950,737.6800,747.0300,62445899
2026-07-30,736.0500,742.4500,734.5900,741.6900,66811268
2026-07-29,739.9700,742.6800,729.1000,729.4600,70697215
2026-07-28,739.1900,742.7901,735.9800,740.8600,47322247
2026-07-27,744.9100,745.5300,735.8700,739.0900,41461194
2026-07-24,738.5100,743.7200,737.2900,738.9300,44781983
2026-07-23,739.3700,742.5600,735.2100,738.1800,55437332
2026-07-22,746.6200,750.0200,746.3700,747.4100,32836200
2026-07-21,746.2900,749.0400,744.1800,748.2800,34324262
2026-07-20,747.0600,748.7300,741.5103,742.0900,50422324
2026-07-17,742.0800,747.2900,740.8000,743.2900,62650961
2026-07-16,752.7600,754.5700,747.8800,750.7200,46409814
2026-07-15,754.2400,755.5800,750.2000,754.8100,43844769
2026-07-14,750.9100,753.3400,748.6600,751.8300,35143138
2026-07-13,752.4700,753.9105,748.0000,749.1700,44013628
2026-07-10,752.0500,755.4200,748.1000,754.9500,42191313
2026-07-09,747.3500,751.9700,745.5900,751.7100,41441718
2026-07-08,743.1600,746.1500,739.5100,745.4000,43767393
2026-07-07,750.2200,750.9600,745.2100,747.7100,43721494
2026-07-06,748.7400,752.4100,747.4100,751.2800,50673310
2026-07-02,747.4000,751.3100,740.0300,744.7800,57505953
2026-07-01,745.0000,749.4350,742.3750,745.7600,47100878
2026-06-30,741.2900,748.0200,740.8900,746.7700,55626035
2026-06-29,736.5250,741.5600,732.0900,741.0000,58035228
2026-06-26,728.9450,736.5300,716.5800,728.9900,71033969
2026-06-25,738.9100,739.3700,729.6000,734.3000,54128065
2026-06-24,735.1700,739.9450,730.8400,733.2400,57439507
2026-06-23,733.8100,739.6300,732.3000,733.5800,66846780
2026-06-22,747.7000,750.1800,743.1300,744.3900,46628074
2026-06-18,747.7600,748.2300,743.8600,746.7400,80875657
2026-06-17,751.2900,752.1500,739.2200,740.9600,85945227
2026-06-16,754.5500,755.4400,749.8800,750.3300,67093142
2026-06-15,751.8500,756.6800,751.7600,754.8300,60176425
2026-06-12,740.7100,744.4400,735.0300,741.7500,57079533
2026-06-11,728.7600,740.0000,724.4050,737.7600,86330522
2026-06-10,733.3900,738.3800,725.3300,725.4300,60341349
2026-06-09,743.6300,746.9000,722.5900,737.0500,87683517
2026-06-08,743.3600,745.3400,738.1900,739.2200,49319144
2026-06-05,752.3100,752.8200,735.5250,737.5500,93989416
2026-06-04,752.1000,758.3100,751.4700,757.0900,49923036
2026-06-03,758.1500,758.8000,753.5700,754.2400,51402518
2026-06-02,757.0300,760.4000,756.7500,759.5700,31581852
2026-06-01,755.3600,760.2800,754.6900,758.5400,43634933
2026-05-29,755.9000,758.0800,754.6900,756.4800,55075739
2026-05-28,750.2500,755.1500,749.2300,754.6000,41562563
2026-05-27,750.8800,751.3800,748.2200,750.4600,42106285
2026-05-26,750.0100,752.1300,748.3700,750.5900,41123621
2026-05-22,746.2400,748.9400,744.4800,745.6400,41762006
2026-05-21,738.6400,744.8700,737.0300,742.7200,43332225
2026-05-20,735.7100,741.8700,733.8900,741.2500,43381500
2026-05-19,734.7800,737.6500,731.5300,733.7300,54255913
2026-05-18,739.8300,741.4150,733.3900,738.6500,47843865
2026-05-15,741.7900,743.4600,737.9600,739.1700,60410771
2026-05-14,743.6500,749.5300,743.5600,748.1700,45307603
2026-05-13,738.4700,743.9100,735.4700,742.3100,44200203
2026-05-12,736.8900,738.8400,731.8300,738.1800,54185273
2026-05-11,736.4500,740.7900,736.4500,739.3000,44023951
2026-05-08,734.9300,738.0800,734.5700,737.6200,47227085
2026-05-07,735.0500,736.1300,729.7500,731.5800,51724642
2026-05-06,728.1600,734.5900,727.8200,733.8300,53288940
2026-05-05,721.7700,725.0400,721.4898,723.7700,36933226
2026-05-04,720.0700,722.1200,714.9900,718.0100,51950558
2026-05-01,721.2500,724.8700,720.4700,720.6500,43049849
2026-04-30,714.6300,719.7900,710.4450,718.6600,67240949
2026-04-29,711.0000,712.2000,708.3700,711.5800,41859227
2026-04-28,711.8150,712.8800,709.2500,711.6900,43117436
2026-04-27,713.1700,715.6300,712.2950,715.1700,33135943
2026-04-24,710.7500,714.4700,709.0100,713.9400,45181957
2026-04-23,709.5000,712.3598,702.2803,708.4500,56173990
2026-04-22,709.1500,711.4500,708.2200,711.2100,42518498
2026-04-21,710.2800,711.2750,702.6400,704.0800,58941384
2026-04-20,708.7800,709.9100,706.1400,708.7200,43546812
2026-04-17,706.1400,712.3900,705.7600,710.1400,70661926
2026-04-16,701.0600,702.7800,698.5300,701.6600,49972363
2026-04-15,695.2600,700.2800,694.2000,699.9400,58240384
2026-04-14,687.6900,694.5800,687.6600,694.4600,63480529
